Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
197,Yanquiel Fernández*,22,COL,-0.8,52,147,138,13,31,5,0,4,11,0,0,8,44,0.225,0.265,0.348,0.613,63,0.269,54,48,4,0,0,1,0,D9/H7,,fernaya01
198,Warming Bernabel,23,COL,0,40,146,139,15,35,8,1,4,14,1,1,7,25,0.252,0.288,0.41,0.698,84,0.311,85,57,2,0,0,0,0,3/5DH,,bernawa01
199,Cedric Mullins*,30,NYM,0.5,42,143,121,16,22,4,1,2,10,8,0,16,35,0.182,0.284,0.281,0.565,61,0.287,71,34,0,2,2,2,0,8/H,,mullice01
200,Nick Fortes,28,MIA,0.4,59,141,129,11,31,6,1,2,10,0,0,7,22,0.24,0.288,0.349,0.637,77,0.278,69,45,4,2,2,1,0,2/HD,,forteni01
201,Derek Hill,29,MIA,0.8,53,141,127,19,27,6,0,3,10,7,0,9,46,0.213,0.275,0.331,0.606,68,0.285,64,42,3,2,3,0,0,8/HD,,hillde01
202,Reese McGuire*,30,CHC,0.3,44,140,133,17,30,2,0,9,24,0,0,4,27,0.226,0.245,0.444,0.688,95,0.289,87,59,3,0,1,2,0,2/H1,,mcguire01
203,Freddy Fermin,30,SDP,0.9,42,139,127,15,31,6,0,2,14,0,0,6,28,0.244,0.278,0.339,0.617,70,0.285,73,43,3,0,6,0,0,2/H,,fermifr01
204,Christian Encarnacion-Strand,25,CIN,-0.6,36,137,130,13,27,4,0,6,19,0,2,3,32,0.208,0.234,0.377,0.61,64,0.254,52,49,1,2,0,2,0,03월 05일,,encarch01
205,James McCann,35,ARI,1,42,137,123,18,32,6,0,5,17,0,0,8,33,0.26,0.324,0.431,0.754,107,0.334,109,53,3,4,1,1,0,2/H3,,mccanja02
206,Andruw Monasterio,28,MIL,0.8,68,135,126,19,34,9,0,4,16,2,1,7,32,0.27,0.319,0.437,0.755,108,0.333,110,55,1,2,0,0,0,63H4/57,,monasan01
207,Matt Mervis*,27,MIA,-0.7,42,134,120,15,21,4,0,7,14,0,0,11,50,0.175,0.254,0.383,0.637,75,0.288,76,46,1,2,0,1,1,3D/H,,mervima01
208,Adrian Del Castillo*,25,ARI,-0.1,44,131,120,9,29,6,0,4,17,0,0,8,47,0.242,0.29,0.392,0.682,87,0.297,82,47,2,1,0,2,0,DH/2,,delcaad01
209,Adael Amador#,22,COL,-1.2,41,128,113,5,20,7,0,1,10,1,1,11,27,0.177,0.256,0.265,0.521,40,0.244,36,30,2,1,3,0,0,4/H,,amadoad01
210,Tyler Wade*,30,SDP,-0.6,59,127,107,13,22,1,2,0,9,1,2,15,31,0.206,0.309,0.252,0.561,59,0.262,61,27,0,1,4,0,0,8H7/459D61,,wadety01
211,Weston Wilson,30,PHI,-0.5,52,125,111,15,22,4,0,5,17,2,3,12,34,0.198,0.282,0.369,0.652,78,0.289,80,41,1,1,1,0,0,74/3H1D5,,wilsowe01
212,Troy Johnston*,28,MIA,0.3,44,121,112,12,31,2,1,4,13,2,2,8,26,0.277,0.331,0.42,0.75,108,0.333,111,47,1,1,0,0,0,397/HD,,johnstr02
213,Ildemaro Vargas#,33,ARI,0.2,38,121,115,12,31,2,1,3,19,0,0,2,15,0.27,0.292,0.383,0.674,85,0.291,78,44,3,2,1,1,0,43/H5D6,,vargail01
214,Braxton Fulford,26,COL,-0.2,38,120,108,11,23,5,2,1,16,1,0,7,36,0.213,0.267,0.324,0.591,58,0.262,47,35,1,2,0,3,0,2/DH,,fulfobr01
215,Rafael Marchán#,26,PHI,0.2,42,118,105,9,22,4,0,2,13,0,0,10,17,0.21,0.282,0.305,0.587,62,0.266,57,32,1,1,1,1,0,2/H,,marchra01
216,Tyler Locklear,24,ARI,-1.1,31,116,103,11,18,0,0,3,6,3,1,10,43,0.175,0.267,0.262,0.529,48,0.248,47,27,3,3,0,0,0,3/H,,locklty01
217,Nick Martini*,35,COL,-0.2,43,111,102,9,23,4,0,1,4,0,0,9,18,0.225,0.288,0.294,0.582,57,0.267,52,30,1,0,0,0,1,D9H/7,,martini02
218,Miguel Andujar,30,CIN,0.6,34,110,103,14,37,7,0,4,17,0,0,6,19,0.359,0.4,0.544,0.944,156,0.407,155,56,3,1,0,0,0,DH/37,,andujmi01
219,Willi Castro#,28,CHC,-0.5,34,110,100,10,17,2,1,1,6,1,1,8,27,0.17,0.245,0.24,0.485,43,0.23,47,24,3,2,0,0,0,95/48H7,,castrwi01
220,Drew Gilbert*,24,SFG,-0.3,39,109,100,12,19,5,1,3,13,1,1,7,20,0.19,0.248,0.35,0.598,69,0.267,71,35,2,1,0,1,0,9/8H7,,gilbedr01
221,Jon Berti,35,CHC,0.2,51,107,100,12,21,2,0,0,2,11,3,5,22,0.21,0.262,0.23,0.492,45,0.244,48,23,1,2,0,0,0,5H4/19D,,bertijo01
222,Miguel Amaya,26,CHC,1.1,28,103,96,14,27,9,0,4,25,0,0,4,22,0.281,0.314,0.5,0.814,132,0.363,140,48,0,1,1,1,0,2/DH,,amayami01
223,Enmanuel Valdéz*,26,PIT,0.1,31,102,91,7,19,4,2,2,12,0,0,11,16,0.209,0.294,0.363,0.657,81,0.292,80,33,2,0,0,0,0,3/4H9,,valdeen01
224,Ha-Seong Kim,29,ATL,0.1,24,98,87,14,22,1,0,3,12,0,1,8,16,0.253,0.316,0.368,0.684,93,0.297,90,32,2,1,0,2,0,6/H,,kimha01
225,Alex Freeland#,23,LAD,0.2,29,97,84,10,16,2,1,2,6,1,0,11,35,0.19,0.292,0.31,0.601,70,0.276,68,26,3,1,1,0,0,54/H,,freelal01
226,Jason Heyward*,35,SDP,-0.6,34,95,85,9,15,2,0,2,12,0,1,6,20,0.176,0.223,0.271,0.494,37,0.22,31,23,1,0,0,3,0,7/H98,,heywaja01
